cliente0,"Calendários ecológicos e produtos de papel reciclado, Mochilas sustentáveis feitas de materiais reciclados, Lanternas solares recarregáveis, Alimentos orgânicos, como frutas, legumes e grãos, Carregadores solares para dispositivos móveis"

cliente1,"Lâmpadas LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos, Meias de fibra de bambu, Luminárias de LED de baixo consumo de energia"

cliente2,"Painéis solares para instalação em residências, Jeans feitos com materiais reciclados"

cliente3,"Mochilas sustentáveis feitas de materiais reciclados, Conjuntos de talheres de aço inoxidável, Alimentos orgânicos, como frutas, legumes e grãos"

cliente4,"Sabonetes artesanais de ingredientes naturais, Bolsas de couro vegano, Equipamentos de escalada seguros e duráveis, Detergente multiuso natural, Lâmpadas LED de baixo consumo de energia"

cliente5,"Barracas de acampamento respeitadoras do ambiente, Cremes faciais livres de parabenos e produtos químicos, Conjuntos de talheres de aço inoxidável"

cliente6,"Shampoo e condicionador orgânicos, Fones de ouvido bluetooth recarregáveis"

cliente7,"Alimentos orgânicos, como frutas, legumes e grãos, Lanternas solares recarregáveis, Livros sobre sustentabilidade e conservação ambiental, Móveis de madeira certificada pelo FSC"

cliente8,"Bolsas de couro vegano, Sabonetes artesanais de ingredientes naturais"

cliente9,"Escova de dentes de bambu, Detergente multiuso natural, Guias práticos para um estilo de vida mais ecológico, Bolsas de couro vegano, Lâmpadas LED de baixo consumo de energia"

cliente10,"Roupas de banho feitas de tecidos reciclados, Lanternas solares recarregáveis, Produtos de fazendas locais e comércio justo, Detergente multiuso natural"

cliente11,"Cremes faciais livres de parabenos e produtos químicos, Fones de ouvido bluetooth recarregáveis, Mochilas sustentáveis feitas de materiais reciclados, Carregadores solares para dispositivos móveis, Luminárias de LED de baixo consumo de energia"

cliente12,"Detergente multiuso natural, Bolsas de couro vegano, Barracas de acampamento respeitadoras do ambiente, Guias práticos para um estilo de vida mais ecológico, Roupas para atividades ao ar livre feitas de tecidos sustentáveis"

cliente13,"Guias práticos para um estilo de vida mais ecológico, Produtos de fazendas locais e comércio justo, Móveis de madeira certificada pelo FSC"

cliente14,"Escova de dentes de bambu, Jeans feitos com materiais reciclados, Calendários ecológicos e produtos de papel reciclado, Equipamentos de escalada seguros e duráveis"

cliente15,"Camisetas de algodão orgânico, Detergente multiuso natural"

cliente16,"DVDs de documentários ambientais, Laptops com design eficiente em termos de energia, Luminárias de LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos"

cliente17,"Roupas de banho feitas de tecidos reciclados, Sabonetes artesanais de ingredientes naturais, Jeans feitos com materiais reciclados, Detergente multiuso natural"

cliente18,"Garrafas de água reutilizáveis, Calendários ecológicos e produtos de papel reciclado, Materiais educacionais para crianças sobre o meio ambiente, Lanternas solares recarregáveis"

cliente19,"Guias práticos para um estilo de vida mais ecológico, Shampoo e condicionador orgânicos, Equipamentos de escalada seguros e duráveis"

cliente20,"Lanternas solares recarregáveis, Roupas de banho feitas de tecidos reciclados, Conjuntos de talheres de aço inoxidável, Camisetas de algodão orgânico, Mochilas sustentáveis feitas de materiais reciclados"

cliente21,"Sabonetes artesanais de ingredientes naturais, Produtos de fazendas locais e comércio justo, Panelas antiaderentes livres de produtos químicos"

cliente22,"Shampoo e condicionador orgânicos, Meias de fibra de bambu, Garrafas de água reutilizáveis"

cliente23,"Barracas de acampamento respeitadoras do ambiente, Calendários ecológicos e produtos de papel reciclado, Conjuntos de talheres de aço inoxidável, Alimentos orgânicos, como frutas, legumes e grãos"

cliente24,"Carregadores solares para dispositivos móveis, Materiais educacionais para crianças sobre o meio ambiente, Meias de fibra de bambu, DVDs de documentários ambientais"

cliente25,"Painéis solares para instalação em residências, Barracas de acampamento respeitadoras do ambiente, Carregadores solares para dispositivos móveis"

cliente26,"Fones de ouvido bluetooth recarregáveis, Luminárias de LED de baixo consumo de energia, Panelas antiaderentes livres de produtos químicos"

cliente27,"Roupas de banho feitas de tecidos reciclados, Lanternas solares recarregáveis"

cliente28,"Meias de fibra de bambu, Camisetas de algodão orgânico"

cliente29,"Detergente multiuso natural, Luminárias de LED de baixo consumo de energia, Painéis solares para instalação em residências"

cliente30,"Roupas para atividades ao ar livre feitas de tecidos sustentáveis, Equipamentos de escalada seguros e duráveis, Lâmpadas LED de baixo consumo de energia"

cliente31,"Móveis de madeira certificada pelo FSC, DVDs de documentários ambientais, Escovas de cabelo de bambu, Detergente multiuso natural"

cliente32,"Roupas de banho feitas de tecidos reciclados, DVDs de documentários ambientais, Cremes faciais livres de parabenos e produtos químicos"

cliente33,"Cremes faciais livres de parabenos e produtos químicos, Sabonetes artesanais de ingredientes naturais, Maquiagem mineral, Calendários ecológicos e produtos de papel reciclado"

cliente34,"Guias práticos para um estilo de vida mais ecológico, Fones de ouvido bluetooth recarregáveis, Shampoo e condicionador orgânicos, Lanches saudáveis e sem ingredientes artificiais, Painéis solares para instalação em residências"

cliente35,"Roupas de banho feitas de tecidos reciclados, Barracas de acampamento respeitadoras do ambiente"

cliente36,"Lanches saudáveis e sem ingredientes artificiais, Lanternas solares recarregáveis, Laptops com design eficiente em termos de energia"

cliente37,"Guias práticos para um estilo de vida mais ecológico, Laptops com design eficiente em termos de energia, DVDs de documentários ambientais"

cliente38,"Conjuntos de talheres de aço inoxidável, Shampoo e condicionador orgânicos, Escovas de cabelo de bambu"

cliente39,"Panelas antiaderentes livres de produtos químicos, Shampoo e condicionador orgânicos, DVDs de documentários ambientais, Escova de dentes de bambu, Lanternas solares recarregáveis"

cliente40,"Alimentos orgânicos, como frutas, legumes e grãos, Shampoo e condicionador orgânicos"

cliente41,"Shampoo e condicionador orgânicos, Escova de dentes de bambu"

cliente42,"Detergente multiuso natural, Equipamentos de escalada seguros e duráveis, Roupas para atividades ao ar livre feitas de tecidos sustentáveis"

cliente43,"Maquiagem mineral, Bolsas de couro vegano, Luminárias de LED de baixo consumo de energia, Lanches saudáveis e sem ingredientes artificiais"

cliente44,"Bolsas de couro vegano, Barracas de acampamento respeitadoras do ambiente, Roupas para atividades ao ar livre feitas de tecidos sustentáveis"

cliente45,"Barracas de acampamento respeitadoras do ambiente, Bolsas de couro vegano, Painéis solares para instalação em residências, Equipamentos de escalada seguros e duráveis"

cliente46,"Shampoo e condicionador orgânicos, Escovas de cabelo de bambu, Alimentos orgânicos, como frutas, legumes e grãos"

cliente47,"Sabonetes artesanais de ingredientes naturais, Carregadores solares para dispositivos móveis, Jeans feitos com materiais reciclados"

cliente48,"Móveis de madeira certificada pelo FSC, Calendários ecológicos e produtos de papel reciclado, Luminárias de LED de baixo consumo de energia"

cliente49,"Maquiagem mineral, Painéis solares para instalação em residências, DVDs de documentários ambientais, Alimentos orgânicos, como frutas, legumes e grãos, Produtos de fazendas locais e comércio justo"

cliente50,"Lâmpadas LED de baixo consumo de energia, Guias práticos para um estilo de vida mais ecológico, Roupas de banho feitas de tecidos reciclados"

cliente51,"Lanternas solares recarregáveis, Barracas de acampamento respeitadoras do ambiente, Livros sobre sustentabilidade e conservação ambiental"

cliente52,"Conjuntos de talheres de aço inoxidável, Carregadores solares para dispositivos móveis"

